field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
,2020,6224,37.7945315,-98.03712988,KS20-0228,0 - 15,0.54000000000000004,1.6066331324313445
,2020,6224,37.7945315,-98.03712988,KS20-0229,15 - 30,0.47999999999999998,1.6969707145935451
,2020,6224,37.7945315,-98.03712988,KS20-0230,30 - 50,0.5,1.6727066935043522
,2020,6224,37.7945315,-98.03712988,KS20-0231,50 - 100,0.29999999999999999,1.7248989221450193
,2020,6225,37.79518296,-98.03792201,KS20-0232,0 - 15,0.83999999999999997,1.5332006489786296
,2020,6225,37.79518296,-98.03792201,KS20-0233,15 - 30,0.79000000000000004,1.6733971775681877
,2020,6225,37.79518296,-98.03792201,KS20-0234,30 - 50,0.56999999999999995,1.692929832408631
,2020,6225,37.79518296,-98.03792201,KS20-0235,50 - 100,0.19,1.7303107288838286
,2020,6226,37.79469862,-98.03848948,KS20-0236,0 - 15,1.76,1.014524084627386
,2020,6226,37.79469862,-98.03848948,KS20-0237,15 - 30,0.64000000000000001,1.6363529134229771
,2020,6226,37.79469862,-98.03848948,KS20-0238,30 - 50,0.48999999999999999,1.6844975513385232
,2020,6226,37.79469862,-98.03848948,KS20-0239,50 - 100,0.14000000000000001,1.7188774770070163
,2020,6227,37.79444895,-98.03837332,KS20-0240,0 - 15,0.55000000000000004,1.5817148927574971
,2020,6227,37.79444895,-98.03837332,KS20-0241,15 - 30,0.46999999999999997,1.6023119477815142
,2020,6227,37.79444895,-98.03837332,KS20-0242,30 - 50,0.29999999999999999,1.6862167394673564
